Beer,Country,Brewer,Rating,Matched Images,Used Image,Notes
Kozel Cerny,Czech Republic,,6,kozel,,"light, crisp with hint of coffee, a bit less boring than its light sibling. Despite the lack of excitement it's pleasant and refreshing. It reminds me of Coke but with the sugar removed."
"Krusovice ""11""",Czech Republic,,6,,,pale ale-ish with malts in the flavour. Not exactly sure what this is but it's ok by me.
"Krusovice ""Black & Tan""",Czech Republic,,7,,,rich amber beer with nice malt character. Enjoyable! This is probably the 13.
??? Richnov ??? Marzen,Czech Republic,,8,,,"Crisp, malty, smooth amber ale. Faint bitterness but nice malt/sweet character and very enjoyable indeed!"
Chodovar Skalni Lezak,Czech Republic,,6,,,"amber beer with decent foamy head. Difficult to know what it is, but is crisp and lager-like with a nice malty character. Very drinkable."
The Pale Armadillo,Scotland,,7,shg-pale-ale;starlaw-pale;the-cone;the-ridge-or-jarl;will-o-the-wisp,,"cloudy yellow, hoppy and citrussy pale ale that is well-balanced. Enjoyable stuff."
Pissenlit,Belgium,,8,,,"tastes like other Fantomes I've had, it's citrussy and spicy with a strong amber colour and the alcohol is very well disguised. Can't really taste the dandelion but it's got a flavour full of character and doesn't disappoint!"
Gilden Kolsch,Germany,,6,fruh-kolsch;reissdorf-kolsch,,"less of a malt presence than other kolsch, but with a slight fruitiness. One of my less favourite but still ok."
Morgane,France,,6,,,"it had a healthy head and is cloudy with plenty sediment. As well as appearance, the flavour is similar to that of a wheat beer, with hints of banana etc. However, this has more of a cereal, barley-like taste than a wheat beer. At times, there's the sense of fizzy water in the mouth but generally, enjoyable enough."
Vanilla Shake,Denmark,,0,,,"unwittingly cracked this open on a Monday evening, not realising the % - it's very strong! Definite smell of coffee and vanilla. To taste it's a bit strong but gradually it becomes more drinkable. Rich coffee flavour with some vanilla and hint of chocolate. It's got a thick and creamy texture and hence lives up to its name."
No Label,Scotland,,6,lister-no-8,,tastes more like a pale ale to me than a kolsch. Subtle hops and fruitiness combine to make a refreshing but confused-tasting beer. I feel the maltiness that should be in a kolsch is mainly washed away by the fruit flavour.
Northbound 08,North Ireland,,7,,,subtle flavour but very crisp and satisfying.
Wooha Lager,Scotland,,7,,,"very unusual, cloudy with fruity smell and earthy, slightly bitter, malty taste. I enjoyed it, certainly interesting and unique."
Czech Craft Lager,Czech Republic,,7,,,"strong well-balanced lager, with hint of sweetness. Satisfying."
Angelo Poretti,Italy,,6,,,"Whistle Binkies, draft. Decent lager, but don't remember much more."
Pelicon Stout,Slovenia,,6,,,"coffee aroma with coffee taste and a slight creaminess, although a bit thin. Overall quite nice."
St Giles,Scotland,,7,st-mungo,,decent 80 shilling-style ale. Good malt character and enjoyable to drink.
85 Shilling,Scotland,,6,,,"dark with rich creamy head, coffee/smoky/dark malty taste. Threatens to be something special."
Cranachan Stout,Scotland,,8,black-ball-stout;brewdog-milk-stout;shg-stout,,"tart raspberry flavour combined with whisky flavours. Rich and strong in alcohol yet the balance on this is great. Can't fault it, I want more!"
Bad Day At the Office,Scotland,,6,the-cone;the-ridge-or-jarl;will-o-the-wisp,,"good, but not great, amber hoppy ale (bitter?). Perfectly ok."
Talisman,Scotland,,7,,,"crisp, light & refreshing lager with a bit of citrus. Enjoyable."
